review,review lower,review nopunc,review nostop,review noother,cleaned review,polarity,subjectivity
"Starbelly is always a solid stop for a meal in the Castro. I came here for dinner during Pride weekend and it was busy but still not a long wait to get a table. The cocktails were strong, the food was flavorful and fresh. We got the thai spiced pork sausage (tasty bites), the white bean puré (creamy!), and the spahgetti (solid) along with the steak skewer (a great bite) Will definitely be coming back on my next visit.","starbelly is always a solid stop for a meal in the castro. i came here for dinner during pride weekend and it was busy but still not a long wait to get a table. the cocktails were strong, the food was flavorful and fresh. we got the thai spiced pork sausage (tasty bites), the white bean puré (creamy!), and the spahgetti (solid) along with the steak skewer (a great bite) will definitely be coming back on my next visit.",starbelly is always a solid stop for a meal in the castro i came here for dinner during pride weekend and it was busy but still not a long wait to get a table the cocktails were strong the food was flavorful and fresh we got the thai spiced pork sausage tasty bites the white bean puré creamy and the spahgetti solid along with the steak skewer a great bite will definitely be coming back on my next visit,starbelly always solid stop meal castro came dinner pride weekend busy still long wait get table cocktails strong food flavorful fresh got thai spiced pork sausage tasty bites white bean puré creamy spahgetti solid along steak skewer great bite definitely coming back next visit,starbelly always solid stop meal castro dinner pride weekend busy still long wait table cocktails strong food flavorful fresh thai spiced pork sausage tasty bites white bean puré creamy spahgetti solid along steak skewer great bite definitely coming back next visit,starbelly always solid stop meal castro dinner pride weekend busy still long wait table cocktail strong food flavorful fresh thai spiced pork sausage tasty bite white bean puré creamy spahgetti solid along steak skewer great bite definitely coming back next visit,0.14393939393939392,0.30757575757575756
"Stopped by for a late brunch in the Castro and overall enjoyed the experience.The weekend brunch menu is creative with enough variety. I recommend the French toast and their spring gazpacho was refreshing. The house (Starbelly) salad was average, but I think people come here for the multiple cocktail options for happy hour.I appreciate their heated outdoor seating, and indoor space is also quite welcoming. Service was nice and attentive.","stopped by for a late brunch in the castro and overall enjoyed the experience.the weekend brunch menu is creative with enough variety. i recommend the french toast and their spring gazpacho was refreshing. the house (starbelly) salad was average, but i think people come here for the multiple cocktail options for happy hour.i appreciate their heated outdoor seating, and indoor space is also quite welcoming. service was nice and attentive.",stopped by for a late brunch in the castro and overall enjoyed the experiencethe weekend brunch menu is creative with enough variety i recommend the french toast and their spring gazpacho was refreshing the house starbelly salad was average but i think people come here for the multiple cocktail options for happy houri appreciate their heated outdoor seating and indoor space is also quite welcoming service was nice and attentive,stopped late brunch castro overall enjoyed experiencethe weekend brunch menu creative enough variety recommend french toast spring gazpacho refreshing house starbelly salad average think people come multiple cocktail options happy houri appreciate heated outdoor seating indoor space also quite welcoming service nice attentive,stopped late brunch castro overall enjoyed experiencethe weekend brunch menu creative enough variety recommend french toast spring gazpacho refreshing house starbelly salad average think people come multiple cocktail options happy houri appreciate heated outdoor seating indoor space also quite welcoming service nice attentive,stopped late brunch castro overall enjoyed experiencethe weekend brunch menu creative enough variety recommend french toast spring gazpacho refreshing house starbelly salad average think people come multiple cocktail option happy houri appreciate heated outdoor seating indoor space also quite welcoming service nice attentive,0.23750000000000002,0.5916666666666667
"Cutest place, sat outside in the back and the heaters are abundant, so you will not get cold. Ordered micheladas and a couple other cocktails and all were great. The food is on point, every single thing was so yummy. We ordered the Starbelly bacon pizza, the green goddess sauce on it is a game changer, so good. The other item you must order is the chicken and French toast, everyone at the table tried it and loved it. The service was fantastic!","cutest place, sat outside in the back and the heaters are abundant, so you will not get cold. ordered micheladas and a couple other cocktails and all were great. the food is on point, every single thing was so yummy. we ordered the starbelly bacon pizza, the green goddess sauce on it is a game changer, so good. the other item you must order is the chicken and french toast, everyone at the table tried it and loved it. the service was fantastic!",cutest place sat outside in the back and the heaters are abundant so you will not get cold ordered micheladas and a couple other cocktails and all were great the food is on point every single thing was so yummy we ordered the starbelly bacon pizza the green goddess sauce on it is a game changer so good the other item you must order is the chicken and french toast everyone at the table tried it and loved it the service was fantastic,cutest place sat outside back heaters abundant get cold ordered micheladas couple cocktails great food point every single thing yummy ordered starbelly bacon pizza green goddess sauce game changer good item must order chicken french toast everyone table tried loved service fantastic,cutest place sat outside back heaters abundant cold ordered micheladas couple cocktails great food point every single thing yummy ordered starbelly bacon pizza green goddess sauce game changer good item must order chicken french toast everyone table tried loved service fantastic,cutest place sat outside back heater abundant cold ordered micheladas couple cocktail great food point every single thing yummy ordered starbelly bacon pizza green goddess sauce game changer good item must order chicken french toast everyone table tried loved service fantastic,0.10219780219780221,0.5318681318681319
My family and I had a great time last Friday night for dinner. Food are reasonably price with a good portion and wonderful flavor. Staff are nice. Service is fast. The ambiance is upbeat. I like the back patio where we were seated. Definitely will come back.,my family and i had a great time last friday night for dinner. food are reasonably price with a good portion and wonderful flavor. staff are nice. service is fast. the ambiance is upbeat. i like the back patio where we were seated. definitely will come back.,my family and i had a great time last friday night for dinner food are reasonably price with a good portion and wonderful flavor staff are nice service is fast the ambiance is upbeat i like the back patio where we were seated definitely will come back,family great time last friday night dinner food reasonably price good portion wonderful flavor staff nice service fast ambiance upbeat like back patio seated definitely come back,family great time last friday night dinner food reasonably price good portion wonderful flavor staff nice service fast ambiance upbeat like back patio seated definitely come back,family great time last friday night dinner food reasonably price good portion wonderful flavor staff nice service fast ambiance upbeat like back patio seated definitely come back,0.35000000000000003,0.5116666666666666
"Starbelly is one of those places that feels like home away from home. It is on the intersection in the Castro neighborhood and there is street parking available on the weekdays. Finding parking was easy and we were able to walk around to see some shops.Arriving at happy hour, there is a display with a huge array of drinks behind the counter. We were greeted by the happy manager Adam and we encountered a couple who told us that Starbelly's pizza is something to die for. Starbelly provided some cool tones inside. My friend and I sat in the patio that has a covering on the top with star decorations on the walls. It was nice that the heater was on. Some nights in San Francisco can get pretty chilly.The server Chris (I hope I spelled their name correctly) was very kind and inviting. She was very patient when we asked about specific ingredients from the menu.My friend went for the burger and fries during happy hour and I ate margarita pizza. The couple was right. The pizza was fantastic and it wasn't salty compared to some places I have visited in San Francisco. The French fries were crunchy and I love it.I think what makes this place so attractive is that people like Adam and Chris make sure that your experience is memorable. In tough days or just an exploration, they invite you to return to their humble and charming restaurant. I just wished I took a picture of the food but we got so hungry that the food has been demolished in less than a minute.Thank you for having us here, Adam! We will come back again. :)","starbelly is one of those places that feels like home away from home. it is on the intersection in the castro neighborhood and there is street parking available on the weekdays. finding parking was easy and we were able to walk around to see some shops.arriving at happy hour, there is a display with a huge array of drinks behind the counter. we were greeted by the happy manager adam and we encountered a couple who told us that starbelly's pizza is something to die for. starbelly provided some cool tones inside. my friend and i sat in the patio that has a covering on the top with star decorations on the walls. it was nice that the heater was on. some nights in san francisco can get pretty chilly.the server chris (i hope i spelled their name correctly) was very kind and inviting. she was very patient when we asked about specific ingredients from the menu.my friend went for the burger and fries during happy hour and i ate margarita pizza. the couple was right. the pizza was fantastic and it wasn't salty compared to some places i have visited in san francisco. the french fries were crunchy and i love it.i think what makes this place so attractive is that people like adam and chris make sure that your experience is memorable. in tough days or just an exploration, they invite you to return to their humble and charming restaurant. i just wished i took a picture of the food but we got so hungry that the food has been demolished in less than a minute.thank you for having us here, adam! we will come back again. :)",starbelly is one of those places that feels like home away from home it is on the intersection in the castro neighborhood and there is street parking available on the weekdays finding parking was easy and we were able to walk around to see some shopsarriving at happy hour there is a display with a huge array of drinks behind the counter we were greeted by the happy manager adam and we encountered a couple who told us that starbellys pizza is something to die for starbelly provided some cool tones inside my friend and i sat in the patio that has a covering on the top with star decorations on the walls it was nice that the heater was on some nights in san francisco can get pretty chillythe server chris i hope i spelled their name correctly was very kind and inviting she was very patient when we asked about specific ingredients from the menumy friend went for the burger and fries during happy hour and i ate margarita pizza the couple was right the pizza was fantastic and it wasnt salty compared to some places i have visited in san francisco the french fries were crunchy and i love iti think what makes this place so attractive is that people like adam and chris make sure that your experience is memorable in tough days or just an exploration they invite you to return to their humble and charming restaurant i just wished i took a picture of the food but we got so hungry that the food has been demolished in less than a minutethank you for having us here adam we will come back again ,starbelly one places feels like home away home intersection castro neighborhood street parking available weekdays finding parking easy able walk around see shopsarriving happy hour display huge array drinks behind counter greeted happy manager adam encountered couple told us starbellys pizza something die starbelly provided cool tones inside friend sat patio covering top star decorations walls nice heater nights san francisco get pretty chillythe server chris hope spelled name correctly kind inviting patient asked specific ingredients menumy friend went burger fries happy hour ate margarita pizza couple right pizza fantastic wasnt salty compared places visited san francisco french fries crunchy love iti think makes place attractive people like adam chris make sure experience memorable tough days exploration invite return humble charming restaurant wished took picture food got hungry food demolished less minutethank us adam come back,starbelly places feels like home away home intersection castro neighborhood street parking available weekdays finding parking easy able walk around see shopsarriving happy hour display huge array drinks behind counter greeted happy manager adam encountered couple told starbellys pizza something die starbelly provided cool tones inside friend sat patio covering top star decorations walls nice heater nights san francisco pretty chillythe server chris hope spelled name correctly kind inviting patient asked specific ingredients menumy friend went burger fries happy hour ate margarita pizza couple right pizza fantastic wasnt salty compared places visited san francisco french fries crunchy love iti think makes place attractive people like adam chris make sure experience memorable tough days exploration invite return humble charming restaurant wished took picture food hungry food demolished less minutethank adam come back,starbelly place feel like home away home intersection castro neighborhood street parking available weekday finding parking easy able walk around see shopsarriving happy hour display huge array drink behind counter greeted happy manager adam encountered couple told starbellys pizza something die starbelly provided cool tone inside friend sat patio covering top star decoration wall nice heater night san francisco pretty chillythe server chris hope spelled name correctly kind inviting patient asked specific ingredient menumy friend went burger fry happy hour ate margarita pizza couple right pizza fantastic wasnt salty compared place visited san francisco french fry crunchy love iti think make place attractive people like adam chris make sure experience memorable tough day exploration invite return humble charming restaurant wished took picture food hungry food demolished le minutethank adam come back,0.3652063492063492,0.7116507936507936
"I'm here for the beautiful cocktails, easy atmosphere, minimal lines for weekday brunch, the amazing blonde waitress that made our day and simple California-style menu :-)Perfect place for catch up time with your friends, beautiful outdoor covered area / sunroom. Just gives you a happy feel good vibe and their menu served perfect portions for a table for 2","i'm here for the beautiful cocktails, easy atmosphere, minimal lines for weekday brunch, the amazing blonde waitress that made our day and simple california-style menu :-)perfect place for catch up time with your friends, beautiful outdoor covered area / sunroom. just gives you a happy feel good vibe and their menu served perfect portions for a table for 2",im here for the beautiful cocktails easy atmosphere minimal lines for weekday brunch the amazing blonde waitress that made our day and simple californiastyle menu perfect place for catch up time with your friends beautiful outdoor covered area  sunroom just gives you a happy feel good vibe and their menu served perfect portions for a table for 2,im beautiful cocktails easy atmosphere minimal lines weekday brunch amazing blonde waitress made day simple californiastyle menu perfect place catch time friends beautiful outdoor covered area sunroom gives happy feel good vibe menu served perfect portions table 2,beautiful cocktails easy atmosphere minimal lines weekday brunch amazing blonde waitress made day simple californiastyle menu perfect place catch time friends beautiful outdoor covered area sunroom gives happy feel good vibe menu served perfect portions table 2,beautiful cocktail easy atmosphere minimal line weekday brunch amazing blonde waitress made day simple californiastyle menu perfect place catch time friend beautiful outdoor covered area sunroom give happy feel good vibe menu served perfect portion table 2,0.5575757575757576,0.7536796536796537
Food is great and simple! No frills- we got CHF i Ken and waffles and the salad with grilled chicken. Portion for the salad was quite small. But fresh. Prices are great. The one downside is the service is super slow probably because only one person was working the whole back patio felt bad for him. Our drinks never arrived.,food is great and simple! no frills- we got chf i ken and waffles and the salad with grilled chicken. portion for the salad was quite small. but fresh. prices are great. the one downside is the service is super slow probably because only one person was working the whole back patio felt bad for him. our drinks never arrived.,food is great and simple no frills we got chf i ken and waffles and the salad with grilled chicken portion for the salad was quite small but fresh prices are great the one downside is the service is super slow probably because only one person was working the whole back patio felt bad for him our drinks never arrived,food great simple frills got chf ken waffles salad grilled chicken portion salad quite small fresh prices great one downside service super slow probably one person working whole back patio felt bad drinks never arrived,food great simple frills chf ken waffles salad grilled chicken portion salad quite small fresh prices great downside service super slow probably person working whole back patio felt bad drinks never arrived,food great simple frill chf ken waffle salad grilled chicken portion salad quite small fresh price great downside service super slow probably person working whole back patio felt bad drink never arrived,0.05303030303030303,0.530952380952381
"Starbelly is a neighborhood gem that needs to be a part of everyone's regular rotation. It's a great option for a weeknight burger and fries, but the star for me is when you have a weeknight pizza craving. The bacon pizza is so scrumptious. The crispy crust with melty cheese and crisp bacon is a combo to salivate over. The arugula adds a nice peppery touch. This specific night I decided to try the Toffee Cake, and added a scoop of the seasonal ice cream, which was the Chocolate Caramel Crackle--the two together was AMAZING. I'm going back just for that dessert combo.","starbelly is a neighborhood gem that needs to be a part of everyone's regular rotation. it's a great option for a weeknight burger and fries, but the star for me is when you have a weeknight pizza craving. the bacon pizza is so scrumptious. the crispy crust with melty cheese and crisp bacon is a combo to salivate over. the arugula adds a nice peppery touch. this specific night i decided to try the toffee cake, and added a scoop of the seasonal ice cream, which was the chocolate caramel crackle--the two together was amazing. i'm going back just for that dessert combo.",starbelly is a neighborhood gem that needs to be a part of everyones regular rotation its a great option for a weeknight burger and fries but the star for me is when you have a weeknight pizza craving the bacon pizza is so scrumptious the crispy crust with melty cheese and crisp bacon is a combo to salivate over the arugula adds a nice peppery touch this specific night i decided to try the toffee cake and added a scoop of the seasonal ice cream which was the chocolate caramel cracklethe two together was amazing im going back just for that dessert combo,starbelly neighborhood gem needs part everyones regular rotation great option weeknight burger fries star weeknight pizza craving bacon pizza scrumptious crispy crust melty cheese crisp bacon combo salivate arugula adds nice peppery touch specific night decided try toffee cake added scoop seasonal ice cream chocolate caramel cracklethe two together amazing im going back dessert combo,starbelly neighborhood gem needs part everyones regular rotation great option weeknight burger fries star weeknight pizza craving bacon pizza scrumptious crispy crust melty cheese crisp bacon combo salivate arugula adds nice peppery touch specific night decided toffee cake added scoop seasonal ice cream chocolate caramel cracklethe two together amazing going back dessert combo,starbelly neighborhood gem need part everyones regular rotation great option weeknight burger fry star weeknight pizza craving bacon pizza scrumptious crispy crust melty cheese crisp bacon combo salivate arugula add nice peppery touch specific night decided toffee cake added scoop seasonal ice cream chocolate caramel cracklethe two together amazing going back dessert combo,0.26875,0.47107371794871794
"One of my favorite places in San Francisco to have delicious & beautiful food with wonderful cocktails. My go to is the house made pate - decadent, white bean dip - beautiful, fries with 3 dips - LOVE (goes so well with a martini) and wonderful Starbelly salad. Although the pizzas are phenomenal there too.The service is on point- upbeat, and very attentive and knowledgeable of the menu.Had the newest cocktail -Passionflower: tequila and passion fruit. I tend to order a vodka martini, but this sounded so amazing.! And it was so yummy. I'll add more to my review the next time I go. I just go so often that, silly me, forgot to give them the a great review ;)","one of my favorite places in san francisco to have delicious & beautiful food with wonderful cocktails. my go to is the house made pate - decadent, white bean dip - beautiful, fries with 3 dips - love (goes so well with a martini) and wonderful starbelly salad. although the pizzas are phenomenal there too.the service is on point- upbeat, and very attentive and knowledgeable of the menu.had the newest cocktail -passionflower: tequila and passion fruit. i tend to order a vodka martini, but this sounded so amazing.! and it was so yummy. i'll add more to my review the next time i go. i just go so often that, silly me, forgot to give them the a great review ;)",one of my favorite places in san francisco to have delicious  beautiful food with wonderful cocktails my go to is the house made pate  decadent white bean dip  beautiful fries with 3 dips  love goes so well with a martini and wonderful starbelly salad although the pizzas are phenomenal there toothe service is on point upbeat and very attentive and knowledgeable of the menuhad the newest cocktail passionflower tequila and passion fruit i tend to order a vodka martini but this sounded so amazing and it was so yummy ill add more to my review the next time i go i just go so often that silly me forgot to give them the a great review ,one favorite places san francisco delicious beautiful food wonderful cocktails go house made pate decadent white bean dip beautiful fries 3 dips love goes well martini wonderful starbelly salad although pizzas phenomenal toothe service point upbeat attentive knowledgeable menuhad newest cocktail passionflower tequila passion fruit tend order vodka martini sounded amazing yummy ill add review next time go go often silly forgot give great review,favorite places san francisco delicious beautiful food wonderful cocktails house made pate decadent white bean dip beautiful fries 3 dips love goes well martini wonderful starbelly salad although pizzas phenomenal toothe service point upbeat attentive knowledgeable menuhad newest cocktail passionflower tequila passion fruit tend order vodka martini sounded amazing yummy ill add review next time often silly forgot give great review,favorite place san francisco delicious beautiful food wonderful cocktail house made pate decadent white bean dip beautiful fry 3 dip love go well martini wonderful starbelly salad although pizza phenomenal toothe service point upbeat attentive knowledgeable menuhad newest cocktail passionflower tequila passion fruit tend order vodka martini sounded amazing yummy ill add review next time often silly forgot give great review,0.46666666666666673,0.7683333333333333
"Made reservations for Wednesday brunch at 11:30, upon arriving we were seated promptly. Inside of the restaurant was pretty vacant but the patio in the back was full. Food: Challah French Toast - great sweet brunch option, two large slices of custardy french toast serve with strawberry conserve, mascarpone and pistachios, not too sweet and surprisingly light definitely worth ordering if you're looking for something sweetButternut squash pizza - a really interesting combo of flavors, base was a pesto along with black garlic, ricotta salata, pepitas and butternut squash, crust was good, crisp and chewy, a bit on the greasy end but over pretty tasty Bibb lettuce salad - tasty, salad was probably dressed, and well seasoned, bacon was crisp, chicken was well grilled, overall a very good classic saladFries - thin and fried crisp, my preferred style, can't go wrong,  thoroughly enjoyed the trio of sauces that came with them Service was good, no complaints, were offered water and coffee refills when needed. Overall one of my favorite spots in the city for an affordable brunch or dinner. Food is always dependably good, drinks are reasonably priced and the menu maintains a good balance of classic dishes along with interesting seasonal offerings.","made reservations for wednesday brunch at 11:30, upon arriving we were seated promptly. inside of the restaurant was pretty vacant but the patio in the back was full. food: challah french toast - great sweet brunch option, two large slices of custardy french toast serve with strawberry conserve, mascarpone and pistachios, not too sweet and surprisingly light definitely worth ordering if you're looking for something sweetbutternut squash pizza - a really interesting combo of flavors, base was a pesto along with black garlic, ricotta salata, pepitas and butternut squash, crust was good, crisp and chewy, a bit on the greasy end but over pretty tasty bibb lettuce salad - tasty, salad was probably dressed, and well seasoned, bacon was crisp, chicken was well grilled, overall a very good classic saladfries - thin and fried crisp, my preferred style, can't go wrong, thoroughly enjoyed the trio of sauces that came with them service was good, no complaints, were offered water and coffee refills when needed. overall one of my favorite spots in the city for an affordable brunch or dinner. food is always dependably good, drinks are reasonably priced and the menu maintains a good balance of classic dishes along with interesting seasonal offerings.",made reservations for wednesday brunch at 1130 upon arriving we were seated promptly inside of the restaurant was pretty vacant but the patio in the back was full food challah french toast  great sweet brunch option two large slices of custardy french toast serve with strawberry conserve mascarpone and pistachios not too sweet and surprisingly light definitely worth ordering if youre looking for something sweetbutternut squash pizza  a really interesting combo of flavors base was a pesto along with black garlic ricotta salata pepitas and butternut squash crust was good crisp and chewy a bit on the greasy end but over pretty tasty bibb lettuce salad  tasty salad was probably dressed and well seasoned bacon was crisp chicken was well grilled overall a very good classic saladfries  thin and fried crisp my preferred style cant go wrong thoroughly enjoyed the trio of sauces that came with them service was good no complaints were offered water and coffee refills when needed overall one of my favorite spots in the city for an affordable brunch or dinner food is always dependably good drinks are reasonably priced and the menu maintains a good balance of classic dishes along with interesting seasonal offerings,made reservations wednesday brunch 1130 upon arriving seated promptly inside restaurant pretty vacant patio back full food challah french toast great sweet brunch option two large slices custardy french toast serve strawberry conserve mascarpone pistachios sweet surprisingly light definitely worth ordering youre looking something sweetbutternut squash pizza really interesting combo flavors base pesto along black garlic ricotta salata pepitas butternut squash crust good crisp chewy bit greasy end pretty tasty bibb lettuce salad tasty salad probably dressed well seasoned bacon crisp chicken well grilled overall good classic saladfries thin fried crisp preferred style cant go wrong thoroughly enjoyed trio sauces came service good complaints offered water coffee refills needed overall one favorite spots city affordable brunch dinner food always dependably good drinks reasonably priced menu maintains good balance classic dishes along interesting seasonal offerings,made reservations wednesday brunch 1130 upon arriving seated promptly inside restaurant pretty vacant patio back full food challah french toast great sweet brunch option two large slices custardy french toast serve strawberry conserve mascarpone pistachios sweet surprisingly light definitely worth ordering youre looking something sweetbutternut squash pizza really interesting combo flavors base pesto along black garlic ricotta salata pepitas butternut squash crust good crisp chewy bit greasy end pretty tasty bibb lettuce salad tasty salad probably dressed well seasoned bacon crisp chicken well grilled overall good classic saladfries thin fried crisp preferred style cant wrong thoroughly enjoyed trio sauces service good complaints offered water coffee refills needed overall favorite spots city affordable brunch dinner food always dependably good drinks reasonably priced menu maintains good balance classic dishes along interesting seasonal offerings,made reservation wednesday brunch 1130 upon arriving seated promptly inside restaurant pretty vacant patio back full food challah french toast great sweet brunch option two large slice custardy french toast serve strawberry conserve mascarpone pistachio sweet surprisingly light definitely worth ordering youre looking something sweetbutternut squash pizza really interesting combo flavor base pesto along black garlic ricotta salata pepitas butternut squash crust good crisp chewy bit greasy end pretty tasty bibb lettuce salad tasty salad probably dressed well seasoned bacon crisp chicken well grilled overall good classic saladfries thin fried crisp preferred style cant wrong thoroughly enjoyed trio sauce service good complaint offered water coffee refill needed overall favorite spot city affordable brunch dinner food always dependably good drink reasonably priced menu maintains good balance classic dish along interesting seasonal offering,0.20919312169312168,0.5082010582010582
