review,word count,char count,stopword count
"Starbelly is always a solid stop for a meal in the Castro. I came here for dinner during Pride weekend and it was busy but still not a long wait to get a table. The cocktails were strong, the food was flavorful and fresh. We got the thai spiced pork sausage (tasty bites), the white bean puré (creamy!), and the spahgetti (solid) along with the steak skewer (a great bite) Will definitely be coming back on my next visit.",79,421,30
"Stopped by for a late brunch in the Castro and overall enjoyed the experience.The weekend brunch menu is creative with enough variety. I recommend the French toast and their spring gazpacho was refreshing. The house (Starbelly) salad was average, but I think people come here for the multiple cocktail options for happy hour.I appreciate their heated outdoor seating, and indoor space is also quite welcoming. Service was nice and attentive.",70,441,24
"Cutest place, sat outside in the back and the heaters are abundant, so you will not get cold. Ordered micheladas and a couple other cocktails and all were great. The food is on point, every single thing was so yummy. We ordered the Starbelly bacon pizza, the green goddess sauce on it is a game changer, so good. The other item you must order is the chicken and French toast, everyone at the table tried it and loved it. The service was fantastic!",83,447,36
My family and I had a great time last Friday night for dinner. Food are reasonably price with a good portion and wonderful flavor. Staff are nice. Service is fast. The ambiance is upbeat. I like the back patio where we were seated. Definitely will come back.,47,258,16
"Starbelly is one of those places that feels like home away from home. It is on the intersection in the Castro neighborhood and there is street parking available on the weekdays. Finding parking was easy and we were able to walk around to see some shops.Arriving at happy hour, there is a display with a huge array of drinks behind the counter. We were greeted by the happy manager Adam and we encountered a couple who told us that Starbelly's pizza is something to die for. Starbelly provided some cool tones inside. My friend and I sat in the patio that has a covering on the top with star decorations on the walls. It was nice that the heater was on. Some nights in San Francisco can get pretty chilly.The server Chris (I hope I spelled their name correctly) was very kind and inviting. She was very patient when we asked about specific ingredients from the menu.My friend went for the burger and fries during happy hour and I ate margarita pizza. The couple was right. The pizza was fantastic and it wasn't salty compared to some places I have visited in San Francisco. The French fries were crunchy and I love it.I think what makes this place so attractive is that people like Adam and Chris make sure that your experience is memorable. In tough days or just an exploration, they invite you to return to their humble and charming restaurant. I just wished I took a picture of the food but we got so hungry that the food has been demolished in less than a minute.Thank you for having us here, Adam! We will come back again. :)",280,1529,121
"I'm here for the beautiful cocktails, easy atmosphere, minimal lines for weekday brunch, the amazing blonde waitress that made our day and simple California-style menu :-)Perfect place for catch up time with your friends, beautiful outdoor covered area / sunroom. Just gives you a happy feel good vibe and their menu served perfect portions for a table for 2",59,358,19
Food is great and simple! No frills- we got CHF i Ken and waffles and the salad with grilled chicken. Portion for the salad was quite small. But fresh. Prices are great. The one downside is the service is super slow probably because only one person was working the whole back patio felt bad for him. Our drinks never arrived.,60,325,20
"Starbelly is a neighborhood gem that needs to be a part of everyone's regular rotation. It's a great option for a weeknight burger and fries, but the star for me is when you have a weeknight pizza craving. The bacon pizza is so scrumptious. The crispy crust with melty cheese and crisp bacon is a combo to salivate over. The arugula adds a nice peppery touch. This specific night I decided to try the Toffee Cake, and added a scoop of the seasonal ice cream, which was the Chocolate Caramel Crackle--the two together was AMAZING. I'm going back just for that dessert combo.",103,573,41
"One of my favorite places in San Francisco to have delicious & beautiful food with wonderful cocktails. My go to is the house made pate - decadent, white bean dip - beautiful, fries with 3 dips - LOVE (goes so well with a martini) and wonderful Starbelly salad. Although the pizzas are phenomenal there too.The service is on point- upbeat, and very attentive and knowledgeable of the menu.Had the newest cocktail -Passionflower: tequila and passion fruit. I tend to order a vodka martini, but this sounded so amazing.! And it was so yummy. I'll add more to my review the next time I go. I just go so often that, silly me, forgot to give them the a great review ;)",121,663,44
"Made reservations for Wednesday brunch at 11:30, upon arriving we were seated promptly. Inside of the restaurant was pretty vacant but the patio in the back was full. Food: Challah French Toast - great sweet brunch option, two large slices of custardy french toast serve with strawberry conserve, mascarpone and pistachios, not too sweet and surprisingly light definitely worth ordering if you're looking for something sweetButternut squash pizza - a really interesting combo of flavors, base was a pesto along with black garlic, ricotta salata, pepitas and butternut squash, crust was good, crisp and chewy, a bit on the greasy end but over pretty tasty Bibb lettuce salad - tasty, salad was probably dressed, and well seasoned, bacon was crisp, chicken was well grilled, overall a very good classic saladFries - thin and fried crisp, my preferred style, can't go wrong,  thoroughly enjoyed the trio of sauces that came with them Service was good, no complaints, were offered water and coffee refills when needed. Overall one of my favorite spots in the city for an affordable brunch or dinner. Food is always dependably good, drinks are reasonably priced and the menu maintains a good balance of classic dishes along with interesting seasonal offerings.",203,1255,66
"Good place if you want a cheap restaurant (we spend 60$ in 3) or an easy reservation. Speaking of the food, they have basic dishes. The quality is ok, not something very outstanding but you can easily enjoy. The ambiance is nice and the service is pretty fast and efficient.",50,274,21
"Went around 11:30 am on Sunday and ordered the chicken and waffles here for the second time and they're still as good as I remembered them to be. The portion size, presentation, chicken to waffle to ratio is perfect for me. The chilaquiles was also delicious but I'm not sure if it's worth the price. It's such a cute place. Service was a bit slow, but it was also pride day.",71,375,30
"Great food, drinks and service at an affordable price. Great ambiance as well. Highly recommended",15,97,4
"Came here for happy hour after a hike and thoroughly enjoyed the $20 burger deal ($20 for a burger, fries and a cocktail). We each ended up getting that deal and were so happy and full afterwards and continued with a few roses. Will gladly come here again for the happy hour and great service.",55,293,26
